,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9512999820692128,0.9582511505588429,0.9658458350766043,0.9493056800749109
Precision_0,0.9755412999614973,0.9771406545247343,0.9798027066211524,0.9493056800749109
Recall_0,0.9730967396665162,0.9789227362876061,0.9843122029025048,1.0
F1_0,0.9743174864674041,0.9780308836187239,0.9820522779881549,0.9739936530000051
Precision_1,0.5187882428019069,0.5913492838541666,0.6785222776535352,1.0
Recall_1,0.5431322460208292,0.571153468264885,0.6200432304971507,0.0
F1_1,0.5306812072805468,0.5810759481017972,0.6479659937983859,0.0
Avg_F1,0.5306812072805468,0.5810759481017972,0.6479659937983859,0.0
