,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9499252883868269,0.9620325543402466,0.9669376207837747,0.9582591197975814
Precision_0,0.9754231229633571,0.978482628689002,0.9796549097123561,0.9582591197975814
Recall_0,0.9758388619877375,0.9847789612436302,0.9892095081074226,1.0
F1_0,0.9756309481865338,0.9816206985523075,0.9844090254063264,0.9786847002113115
Precision_1,0.39610150790731885,0.43308550185873607,0.592898224556139,1.0
Recall_1,0.4119334480780264,0.4010327022375215,0.4534327787339836,0.0
F1_1,0.40386237930064683,0.4164432529043789,0.5138708279150411,0.0
Precision_2,0.1638888888888889,0.6082698585418934,0.5658269441401972,1.0
Recall_2,0.14371369683342702,0.4189619636499906,0.4839797639123103,0.0
F1_2,0.15313966257362482,0.49617219571729726,0.5217127852958998,0.0
Precision_3,0.4674041880679573,0.4246704331450094,0.5529878618113913,1.0
Recall_3,0.45719806763285026,0.3485990338164251,0.4577777777777778,0.0
F1_3,0.4622447982807463,0.38289292157487,0.5008986150755894,0.0
Precision_4,0.38645346748113546,0.6047151277013753,0.6515240328253223,1.0
Recall_4,0.4128598848368522,0.5907869481765835,0.426679462571977,0.0
F1_4,0.3992204899777283,0.5976699029126213,0.5156576200417536,0.0
Avg_F1,0.47881965566385604,0.574959794332295,0.607309774746922,0.1957369400422623
