,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.8775307313768852,0.8865997250612635,0.875006475006475,0.8266132727671189
Precision_0,0.8990752184633348,0.9066785241201749,0.8759366998180252,0.8067329787149456
Recall_0,0.9090372472864395,0.9155177664815239,0.9355182060516244,0.9557070328076285
F1_0,0.9040287893335831,0.9110767062808257,0.9047475897669476,0.8749238286864042
Precision_1,0.838967694599462,0.8507918727680057,0.8730505090466271,0.8868025966314405
Recall_1,0.82282745574775,0.8363906954431222,0.7699428141541783,0.6024738738640514
F1_1,0.8308191938790956,0.8435298224972442,0.8182613481648852,0.7174965915730702
Avg_F1,0.8308191938790956,0.8435298224972442,0.8182613481648852,0.7174965915730702
