,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9394995318072241,0.9433825433825433,0.9539039308270078,0.9241766780228319
Precision_0,0.9674281290367102,0.9675182732527678,0.9712463138355998,0.9241766780228319
Recall_0,0.9670965266280354,0.9713476993653422,0.9791084609547461,1.0
F1_0,0.9672622994119138,0.9694292045870178,0.9751615406994533,0.9605944075493734
Precision_1,0.6006227595049324,0.6330683010325217,0.7174882663323907,1.0
Recall_1,0.6031320615902044,0.602527720847128,0.6466971464606653,0.0
F1_1,0.6018747951491314,0.6174205708131395,0.680255938972651,0.0
Avg_F1,0.6018747951491314,0.6174205708131395,0.680255938972651,0.0
