,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9297663935191235,0.9452522726000038,0.951762081645605,0.9379934855244246
Precision_0,0.9619743796735865,0.9663817566077406,0.9671136716196571,0.9379934855244246
Recall_0,0.9692967072876478,0.9809805253116224,0.9863087642316466,1.0
F1_0,0.9656216623424254,0.9736264197479049,0.9766169086831602,0.968004786941378
Precision_1,0.4509007417873543,0.4526070596667264,0.590858623242043,1.0
Recall_1,0.38899893341459696,0.38488496114581744,0.4865153131190005,0.0
F1_1,0.4176687116564417,0.4160079051383399,0.5336341606083396,0.0
Precision_2,0.14206837969844976,0.5826280623608018,0.6109310866277814,1.0
Recall_2,0.10121028744326778,0.39576399394856276,0.42783661119515887,0.0
F1_2,0.11820832228995494,0.47135135135135137,0.5032476198950084,0.0
Precision_3,0.4394469431950691,0.48328267477203646,0.5804585829374096,1.0
Recall_3,0.410392034847542,0.2968263845675171,0.43714996888612323,0.0
F1_3,0.42442281393290965,0.36777178103315344,0.4987132842310764,0.0
Precision_4,0.414087662792326,0.5718031775412618,0.6915636754433101,1.0
Recall_4,0.4240034413535991,0.5315457413249212,0.36908517350157727,0.0
F1_4,0.41898689337584133,0.5509400312105224,0.48130142109199703,0.0
Avg_F1,0.46898168071951457,0.5559394976962544,0.5987026789019163,0.1936009573882756
