,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9277787739326201,0.9338174645866953,0.9451058912597374,0.925248540633156
Precision_0,0.9636032269877949,0.9659691676986805,0.9650854890055447,0.9292929292929293
Recall_0,0.9703571590318469,0.9756624619624876,0.9872370801855562,0.999984903609547
F1_0,0.9669683996974073,0.9707916186977416,0.9760356155592063,0.9633437802226569
Precision_1,0.437221983067872,0.4915614451806476,0.6463685379004123,1.0
Recall_1,0.31779307467667917,0.410095953274927,0.42511472674176054,0.0
F1_1,0.3680618469529504,0.44714846193210894,0.512897948911539,0.0
Precision_2,0.41231697775790765,0.4714837286265858,0.5793199342687397,1.0
Recall_2,0.3853546432675232,0.4464640133709391,0.4787422960409485,0.0
F1_2,0.3983801295896328,0.45863290052580746,0.5242507435369481,0.0
Precision_3,0.5096442885771543,0.41407493896613945,0.5888587307742019,0.24579124579124578
Recall_3,0.43398037542662116,0.4160622866894198,0.4859215017064846,0.07785836177474403
F1_3,0.468778801843318,0.4150662339735064,0.5324607023899959,0.11825692531994168
Precision_4,0.4446948526097539,0.591414496833216,0.6009564293304994,1.0
Recall_4,0.5082423243354626,0.4329280857201731,0.34957758087780755,0.0
F1_4,0.47434972835232464,0.4999107727083457,0.44202709744658675,0.0
Avg_F1,0.5353077812871266,0.558309997567502,0.5975344215688552,0.2163201411085197
