,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9288327057557827,0.9362640208794055,0.9448747833363218,0.9241766780228319
Precision_0,0.9636492570188351,0.9637995432522998,0.9629077958821134,0.9241766780228319
Recall_0,0.9667300462196468,0.9734775972682119,0.9838921081677704,1.0
F1_0,0.9651871932261977,0.9686143959365167,0.9732868583882549,0.9605944075493734
Precision_1,0.5126861838726245,0.4646586786852809,0.6405679513184585,1.0
Recall_1,0.5241545893719807,0.4439193446754883,0.4974795211090107,0.0
F1_1,0.5183569611050527,0.454052312154251,0.5600283738251463,0.0
Precision_2,0.3571711307560364,0.6136906341204563,0.6444571265515765,1.0
Recall_2,0.27988006617038874,0.478287841191067,0.46701819685690654,0.0
F1_2,0.313836879021506,0.537594421847763,0.5415742461483124,0.0
Precision_3,0.5329801599667602,0.5088387272232798,0.6271072151045178,1.0
Recall_3,0.54689831592411,0.3988488595182264,0.4956299296525261,0.0
F1_3,0.539849544952391,0.44717973231357555,0.5536702982675478,0.0
Precision_4,0.5128710815860494,0.6136436085431941,0.6455138662316476,1.0
Recall_4,0.5210925964986289,0.6090487238979119,0.4173170217253744,0.0
F1_4,0.5169491525423728,0.6113375324194146,0.5069177555726364,0.0
Avg_F1,0.5708359461695041,0.6037556789343042,0.6270955064403796,0.1921188815098747
