,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9369621824426484,0.9531993728183973,0.9583418886379332,0.9474152091538648
Precision_0,0.9665540615025073,0.9711999883312183,0.9716254697609547,0.9474152091538648
Recall_0,0.971705245944435,0.9838934901624689,0.9882057988360954,1.0
F1_0,0.9691228087412098,0.9775055327801165,0.9798454988443548,0.9729976480624372
Precision_1,0.42097902097902096,0.4384397472216169,0.5848263658482636,1.0
Recall_1,0.3786843997124371,0.3616103522645579,0.47519769949676494,0.0
F1_1,0.3987132179014098,0.3963360583078893,0.5243430837878037,0.0
Precision_2,0.10987951807228916,0.5916890080428955,0.6163076083992365,1.0
Recall_2,0.08141403320835565,0.394036779146581,0.40349937511158723,0.0
F1_2,0.09352886883396574,0.47304683313685564,0.48769961156668107,0.0
Precision_3,0.41857707509881426,0.4780768067735107,0.5590643274853802,1.0
Recall_3,0.3879831470965378,0.28961348232276973,0.43780912254991755,0.0
F1_3,0.4026998764141078,0.3607118412046543,0.49106225600986236,0.0
Precision_4,0.378044819746671,0.5744111349036403,0.6925278219395866,1.0
Recall_4,0.3937087772704211,0.5443937087772704,0.3683409436834094,0.0
F1_4,0.3857178361361942,0.5589997395154989,0.48090086111724445,0.0
Avg_F1,0.4499565216053775,0.5533200009890029,0.5927702622651893,0.19459952961248744
