,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9821310685313213,0.9888339428696402,0.9887124406157735,0.9900894661595973
Precision_0,0.9928226226990716,0.9925336028626623,0.991706951836841,0.9906338188069674
Recall_0,0.9891024670803693,0.996216134402906,0.9969360915327314,0.9994395788250791
F1_0,0.9909590534465023,0.9943714591946103,0.9943146466696722,0.995017216768379
Precision_1,0.20855614973262032,0.40051847051198963,0.35486649440137813,0.5054151624548736
Recall_1,0.28653061224489795,0.2522448979591837,0.16816326530612244,0.05714285714285714
F1_1,0.24140302613480055,0.30954169797145004,0.22819163666574357,0.10267693436010268
Avg_F1,0.24140302613480055,0.30954169797145004,0.22819163666574357,0.10267693436010268
