,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,x_hidden_states
Acc,0.41983122362869196,0.4356540084388186,0.45042194092827004,0.46149789029535865,0.4588607594936709,0.4641350210970464,0.4699367088607595,0.504746835443038,0.5068565400843882,0.5284810126582279,0.5021097046413502,0.5015822784810127,0.38238396624472576
Precision_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Recall_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Precision_1,0.4083333333333333,0.44763860369609854,0.4538653366583541,0.46454767726161367,0.48863636363636365,0.44329896907216493,0.5090439276485789,0.5584415584415584,0.5685131195335277,0.516728624535316,0.5635838150289018,0.5058275058275058,0.3772455089820359
Recall_1,0.5223880597014925,0.464818763326226,0.3880597014925373,0.4051172707889126,0.36673773987206826,0.6417910447761194,0.4200426439232409,0.4584221748400853,0.4157782515991471,0.5927505330490405,0.4157782515991471,0.4626865671641791,0.5373134328358209
F1_1,0.4583723105706268,0.4560669456066946,0.41839080459770117,0.4328018223234624,0.4190012180267966,0.524390243902439,0.4602803738317757,0.5035128805620609,0.4802955665024631,0.5521350546176763,0.4785276073619632,0.48329621380846327,0.44327176781002636
Precision_2,0.39332365747460085,0.391304347826087,0.45098039215686275,0.42574257425742573,0.44655581947743467,0.42992424242424243,0.4220665499124343,0.4433811802232855,0.4669187145557656,0.49240121580547114,0.5457063711911357,0.5212264150943396,0.4166666666666667
Recall_2,0.572938689217759,0.5517970401691332,0.4376321353065539,0.45454545454545453,0.3974630021141649,0.4799154334038055,0.5095137420718816,0.587737843551797,0.5221987315010571,0.6849894291754757,0.4164904862579281,0.46723044397463004,0.30655391120507397
F1_2,0.4664371772805508,0.45789473684210524,0.44420600858369097,0.4396728016359918,0.42058165548098436,0.45354645354645357,0.4616858237547893,0.5054545454545455,0.4930139720558882,0.5729442970822282,0.4724220623501199,0.4927536231884058,0.35322777101096225
Precision_3,0.48905109489051096,0.46301369863013697,0.46065259117082535,0.4666666666666667,0.4515539305301645,0.5454545454545454,0.5362776025236593,0.51340206185567,0.52,0.5605700712589073,0.4473684210526316,0.4860335195530726,0.40993788819875776
Recall_3,0.28270042194092826,0.35654008438818563,0.5063291139240507,0.4873417721518987,0.5210970464135021,0.34177215189873417,0.35864978902953587,0.5253164556962026,0.5485232067510548,0.4978902953586498,0.6455696202531646,0.5506329113924051,0.27848101265822783
F1_3,0.3582887700534759,0.4028605482717521,0.4824120603015075,0.47678018575851394,0.4838393731635651,0.42023346303501946,0.42983565107458915,0.5192909280500522,0.5338809034907598,0.5273743016759777,0.5284974093264249,0.516320474777448,0.3316582914572864
Precision_4,0.43843843843843844,0.47214854111405835,0.4368932038834951,0.49075975359342916,0.4565972222222222,0.4846938775510204,0.4557165861513688,0.5388471177944862,0.49427480916030536,0.5878136200716846,0.502970297029703,0.4980237154150198,0.35125448028673834
Recall_4,0.30416666666666664,0.37083333333333335,0.46875,0.4979166666666667,0.5479166666666667,0.3958333333333333,0.5895833333333333,0.4479166666666667,0.5395833333333333,0.3416666666666667,0.5291666666666667,0.525,0.4083333333333333
F1_4,0.3591635916359164,0.41540256709451573,0.45226130653266333,0.49431230610134436,0.4981060606060606,0.43577981651376146,0.5140781108083561,0.4891922639362912,0.5159362549800797,0.4321475625823452,0.515736040609137,0.5111561866125761,0.37764932562620424
Avg_F1,0.528452369908114,0.5464449595630134,0.5594540360031126,0.5687134231638625,0.5643056614554813,0.5667899953995347,0.5731759918939021,0.6034901236005898,0.6046253394058382,0.6169202431916455,0.5990366239295289,0.6007052996773787,0.5011614311808958
