,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.9377532471136767,0.9473436806172292,0.9434964059724689,0.958065053285968,0.9611803396980462,0.9640597246891652,0.9643892928507993,0.9658480656083481,0.9659174483792184,0.9629790880328597,0.9643129718028419,0.9648194660301954,0.9595949433836589,0.95671555839254,0.9527902281305506,0.953225605017762,0.9458189942273535,0.9457027780861457,0.9368495365230906,0.8940819965586145,0.9186556394316163,0.9029057504440497,0.8980749750222025,0.9077261184502664,0.9093635518428064
Precision_0,0.9613436065227716,0.9671721373468462,0.9702593126197022,0.9742855841355644,0.9785748345381373,0.9781700492314831,0.9789751479470209,0.9819434295049604,0.9804332594497487,0.9816080922858405,0.9810889371431197,0.980302677354189,0.9788568977863212,0.977435883699038,0.9767798411949142,0.975762866644076,0.9746703096749597,0.9733994087048792,0.9699534522587763,0.9681400613774714,0.9672484595608052,0.9636423158391126,0.9626835256424007,0.9599664266399295,0.9345263078256076
Recall_0,0.9795453541586248,0.9823415201848235,0.973870443027157,0.985794477956187,0.9852970830380651,0.9878820002573394,0.9873884462266161,0.9857771939628932,0.9862400208944274,0.9821302713778991,0.9839546928922458,0.9859749996639223,0.9818364434919044,0.9810605842373822,0.9775845811416269,0.9788098242217882,0.9721209188170835,0.9724665986829597,0.9692325714933178,0.9239120206332471,0.9580517482759217,0.9496997386276125,0.9480596797083999,0.9708342215385443,0.9963108276536211
F1_0,0.9703591319195081,0.9746978114373858,0.9720615240702191,0.9800062429778431,0.9819244538053957,0.9830020370802105,0.9831637984857076,0.9838565770193175,0.9833280677063886,0.9818691124053593,0.9825197253551714,0.9831306567449128,0.9803444067224603,0.9792448797487341,0.9771820454861762,0.97728397050195,0.9733939449880007,0.9729327801084995,0.9695928778844981,0.9455091103123114,0.9626281386429967,0.9566202272577793,0.9553156409770144,0.9653697385997225,0.9644300517171507
Precision_1,0.6440339091490723,0.6953348143446525,0.683714958270918,0.7634968881169489,0.7867243021466774,0.7981086430613591,0.8242066420664207,0.8248981966259453,0.8163460829832707,0.8083692655686718,0.8257148969550024,0.825065274151436,0.786508991673081,0.7979387429235012,0.7728825374695015,0.7935390199637024,0.775635593220339,0.6876199616122841,0.7497562804649419,0.6748068432671082,0.6416988416988417,0.4117685950413223,0.35968959731543626,0.39705443327694295,1.0
Recall_1,0.5856301359901098,0.6373354665115264,0.6970402152570722,0.7672169296778416,0.780888662642717,0.7917242382372192,0.8121591157006763,0.824958184859283,0.8055414151698058,0.8316486073740091,0.842047851065377,0.8043051414442586,0.8173950985382882,0.7995054905097811,0.806268635008363,0.7949240055268708,0.7987055486873682,0.7294742200567231,0.7270743945894844,0.711366446076649,0.6043196858410298,0.4529125154534216,0.37415460693767727,0.29016071558432116,0.0
F1_1,0.6134450580841745,0.6650730411686587,0.6903132877205618,0.7653523885523595,0.7837956204379563,0.7949036214953271,0.8181385297241859,0.824928189652038,0.8109077598828697,0.8198437163954405,0.8338013969899907,0.8145529533068199,0.8016546608658441,0.7987213483962367,0.7892226651480638,0.7942309089588026,0.7870015406112285,0.7079290024348072,0.7382411577936941,0.6926045243742698,0.6224485974308078,0.4313616844438288,0.3667795401889146,0.3352941176470588,0.0
Precision_2,0.655663174540423,0.7179574758773802,0.6297736641518239,0.7460677937589368,0.737062937062937,0.7834203990751049,0.7305499664654594,0.7470371242445648,0.793014853472501,0.7366828980374797,0.7343833626424039,0.7476135929744178,0.6500989663514405,0.6222205968402574,0.5755075686921587,0.5919305413687436,0.5206735012560255,0.6071799847529281,0.4477993188367828,0.3717323651452282,0.34687716208566577,0.2488986784140969,0.342859565807327,0.4181371976159869,1.0
Recall_2,0.5081577939486787,0.6440444274224435,0.6202221371122175,0.6794331673688242,0.7266181539639984,0.7007276905400229,0.6674837227116047,0.7290693220988127,0.7565683646112601,0.7648410570662582,0.735733435465339,0.7499042512447338,0.6792799693603984,0.6516277288395251,0.6144772117962467,0.6214477211796247,0.5874377633090769,0.6710838759096132,0.5237073918039066,0.5489850631941785,0.422443508234393,0.30294906166219837,0.30968977403293757,0.27407123707391806,0.0
F1_2,0.5725628964743451,0.6789953969151256,0.6249614078419266,0.7111930724823605,0.7318032786885246,0.7397703380236131,0.697594364167634,0.7379438672662428,0.7743629949039592,0.7504979518208125,0.7350577791382873,0.7487571701720841,0.6643691938867246,0.636584727055038,0.5943543009557679,0.6063301072456186,0.552044342067377,0.6375345655654199,0.48278784027115773,0.4432967372815834,0.3809490916626373,0.27327690447400244,0.3254316416468789,0.3311123449935221,0.0
Precision_3,0.7041435506241331,0.758114233907525,0.662369640787949,0.7994060475161987,0.7814757691371053,0.8237418733445702,0.8257023125873041,0.8225720990084021,0.8246890401314245,0.7684210526315789,0.8102144730751427,0.8044315992292871,0.8060176709384701,0.793467583497053,0.7474497681607419,0.8003020641047156,0.7548712462749293,0.7182308037718904,0.6345682678743783,0.28169909254616715,0.5309485787288406,0.47425351382861586,0.3619510712657651,0.34256055363321797,1.0
Recall_3,0.5701951424961392,0.5869717815527166,0.6420047732696897,0.6235434507932051,0.6757686368103327,0.7204127474378773,0.7468763161589218,0.7628106135055455,0.7399971921943002,0.7276428471149796,0.7371893864944545,0.7033553278113155,0.7107960129159062,0.6804015162150779,0.678927418222659,0.6695212691281763,0.6934578127193598,0.6736627825354485,0.5999578829145024,0.5600168468341991,0.5834620244279096,0.5139688333567317,0.5016144882774112,0.4169591464270673,0.0
F1_3,0.6301295477464898,0.6616553252096851,0.6520282312682684,0.7006073034150958,0.7247882552230378,0.7686201085938963,0.7843137254901961,0.7915649925337801,0.7800510562728921,0.7474762042111336,0.7719788297559541,0.750505580106359,0.7554179566563467,0.732597687249641,0.7115427058044582,0.7290934107934567,0.7228624739326089,0.6952332657200812,0.6167779180948945,0.37484436300420515,0.5559680278251563,0.49331312110493514,0.42048898172938304,0.3761160007598303,0.0
Precision_4,0.6581225598370396,0.7408643281517051,0.7590498596038552,0.8353729830851976,0.8386132695756127,0.8629785247432307,0.8729938271604938,0.8382164699189304,0.8497986770204199,0.8355313655711395,0.8367806388068102,0.8640636297903109,0.8549456957504191,0.8106604703562879,0.8110419906687403,0.7638418843914986,0.694698715837998,0.7503412601479992,0.7107127674649284,0.5391080617495712,0.529915056013788,0.5041767877243912,0.4336877448237269,0.3067058317810575,0.25579001544004115
Recall_4,0.525801858005018,0.6172780904590764,0.6782396419610768,0.7267240794737913,0.7611039533464433,0.7520851698650572,0.767206889536855,0.7992812097375738,0.8014511426052756,0.8119617549332068,0.806536922763952,0.8103343052824303,0.795348206414864,0.7807011595578762,0.7779887434732488,0.7652403878755001,0.7153319319183563,0.7082118396962094,0.6802061436224317,0.6393842815487896,0.5837797518139283,0.5770665220044755,0.5255306163965552,0.29029633145724554,0.3707194683664474
F1_4,0.5845678314297561,0.6734482503514093,0.7163730124623979,0.7772700899332753,0.7979808751910703,0.8037247726366897,0.816688923376764,0.8182859523065709,0.8249171174315129,0.8235779627209574,0.8213804771934671,0.8363369143017112,0.8240708213307103,0.7953988047946389,0.7941715986571142,0.7645404965956438,0.7048643592142189,0.7286681085606642,0.6951249090468106,0.5849799919347334,0.5555448004388087,0.5381648011130082,0.4752123125977251,0.29827556174882425,0.30271317829457367
Avg_F1,0.6742128931308546,0.7307739650164529,0.7311474926726748,0.7868858194721868,0.804058496669197,0.8180041755659474,0.8199798682488975,0.8313159157555898,0.8347133992395245,0.8246529895107407,0.8289476416865741,0.8266566549263773,0.805171407892417,0.7885094894488577,0.773294663210316,0.7742957788190944,0.7480333321626869,0.7484595444778944,0.7005049406182111,0.6082469453814208,0.6155077312000814,0.5385473476787108,0.5086456234279831,0.4612335527497916,0.2534286460023448
