,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.8495816218916519,0.8582353879884547,0.8535988843250444,0.863640305839254,0.8667798762211367,0.8723096830595026,0.8717910468472468,0.8763685751554174,0.8795775283081705,0.8731197269094139,0.8851628413632326,0.8913413771092362,0.8926561806172292,0.8905087838587922,0.8955026087921847,0.8943838116119005,0.8889199184058615,0.8897282276865008,0.8792982626554174,0.8360589198490231,0.8670001665186501,0.8435748085035524,0.8396321325488455,0.8618606377664298,0.8139813221580817
Precision_0,0.9002360317832111,0.9109758033980286,0.9166425825392502,0.9176703561819795,0.918308225923512,0.9238445215050981,0.9151049031066358,0.9293682243930229,0.9303088172475312,0.9365825152940874,0.9377278841354573,0.9431358548373086,0.9459005183069067,0.9476740067870535,0.9500729432884677,0.9495349822595625,0.954089841711602,0.9503437887112995,0.9454404362868197,0.9527511629199948,0.9493248965304589,0.9458748102650993,0.9540365012054369,0.94304971144411,0.83547183678322
Recall_0,0.9655418230539976,0.9608587919025002,0.946616450945195,0.9572107084882892,0.9590315294036812,0.9581640628354992,0.9616339291082272,0.9527638687291186,0.9539598560520823,0.939498501258256,0.9520316754129055,0.9557785297729986,0.953392996710498,0.9480056857709717,0.952270013999708,0.9527359552009345,0.9421996719086841,0.9455321177349675,0.9417680858190688,0.8830895551871925,0.9387212168580533,0.9205688347605019,0.9270147125765474,0.9740146524551022,0.995875239412184
F1_0,0.9317460136568062,0.9352526255290246,0.9313884249855019,0.9370235886980237,0.9382281921770904,0.9406913735877456,0.9377926309353302,0.9409206380172439,0.9419859046229784,0.9380382421229331,0.9448256463147486,0.9494151058291057,0.949631979057614,0.9478398172627845,0.9511702099139433,0.9511327755734617,0.948107479765439,0.9479318472914358,0.9436006880090013,0.9165986922161454,0.9439932804028304,0.9330502683386508,0.9403315193894519,0.9582821049073663,0.9086488588576528
Precision_1,0.5289523711658017,0.5592582133107409,0.5684557320989199,0.6068526246430924,0.5887259962832955,0.6141012909632572,0.6505513146734521,0.6595424317202727,0.6690755152655435,0.6602234216141584,0.6714004894291331,0.6811075678618651,0.6633476458395026,0.6597782800559682,0.7103294249022892,0.674941673957422,0.6808102345415779,0.6944693572496263,0.6538117517545067,0.603909226436972,0.5779486402545262,0.45257094858102836,0.4101160564728404,0.49126689795430073,1.0
Recall_1,0.37399643985904746,0.4316489265085189,0.4951865441203182,0.5018708903985178,0.5178915246848549,0.5616303992443783,0.5294074908271879,0.5728557416354851,0.5684237294292876,0.573255349293421,0.6079848875649363,0.6362480473716714,0.6510335307152977,0.668071348130926,0.6932466305808842,0.6726123442438333,0.6959712282486287,0.6751189740981581,0.6904130490064301,0.6622225451375013,0.5543284774948233,0.5480437388745595,0.4980927816325789,0.298361608602463,0.0
F1_1,0.4381783358161311,0.4872367908473951,0.5292975575661089,0.5493915533285612,0.55104170693054,0.5866950020872073,0.5837606152860119,0.6131503227311611,0.6146563745998075,0.6136734852609473,0.6381210203225683,0.6579140136361075,0.6571329043140275,0.663898916967509,0.7016840711869392,0.6737749959060391,0.6883072556451758,0.6846574686389006,0.6716141001855288,0.6317230385361796,0.5658921915852324,0.4957526166181956,0.44984333732508736,0.3712509888122952,0.0
Precision_2,0.4850921622891755,0.5869289661816154,0.5294479876841873,0.5437445699391833,0.5691745326670369,0.5565014476470334,0.5747610485473644,0.5783285668891007,0.6049820596362436,0.5588787599440063,0.5965930504258687,0.6241615740050678,0.5930355515041021,0.5797292606733773,0.5611042293399399,0.5765539803707742,0.5327117930788903,0.5436320754716981,0.46925147711778487,0.4410654952976291,0.41790186125211504,0.34409721056694975,0.4059176243843244,0.4873347752944004,1.0
Recall_2,0.3407048813584186,0.424542487255657,0.4414493710345839,0.45905306781090693,0.4511314042615616,0.47229251476143325,0.44548355154582464,0.5339788022151318,0.5379763083580885,0.6003227344408992,0.5805552499358199,0.6142956687571056,0.5964719257710785,0.6125352990794733,0.581435434774636,0.5816921553526241,0.6035134044816078,0.6255546998202955,0.49224337110793265,0.5744673048006748,0.4528917739391939,0.3759489492793487,0.41709759049400374,0.37184142003153997,0.0
F1_2,0.40027575509500624,0.4927005745903384,0.4814607415703372,0.4978224988565633,0.5033245360993474,0.5109506427551183,0.501931778269044,0.5552695307286005,0.5695150832783321,0.578859891081406,0.5884648984219624,0.6191893240670573,0.5947487749579463,0.5956809387092747,0.5710889377183819,0.5791116709567884,0.5659066680422298,0.581723308834814,0.48047252550563807,0.49900447587645946,0.43469384163190594,0.35931858810333345,0.41143167224382743,0.421825594940922,0.0
