,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.9521640486234458,0.9583026892761989,0.9613208398090586,0.9663649672513321,0.9690153890985791,0.9700682726465364,0.9709633103907638,0.9722503607904085,0.9731957010435168,0.9733570159857904,0.9736189359458259,0.9734107876332149,0.9723752497779752,0.9724012683170515,0.9721115952486679,0.9728453180506217,0.9722382188055062,0.9684395121003553,0.9693345498445826,0.9634925205373002,0.96437021258881,0.9610467778641207,0.9565750582815276,0.94972177508881,0.9234864148534636
Precision_0,0.9756906415277546,0.9758243848619447,0.9818826944787915,0.9842990510731796,0.9864982293705326,0.9874604469970514,0.9849871989062102,0.9876349513069728,0.9879744146298792,0.9864551944118571,0.9878657196008794,0.9900721377044497,0.9866434010761296,0.9886465911828475,0.9862976373450305,0.9860388459290348,0.9866156787762906,0.9851234362593652,0.9835915925570821,0.9839035949601203,0.9840630476223452,0.9814662344616342,0.9763352161778573,0.9719654849067505,0.9443454240038981
Recall_0,0.9803000885324545,0.985160731535414,0.9820995442787102,0.9850589480193503,0.9854391958718143,0.9852663559388761,0.9878397504959546,0.9864627923635477,0.986889130864795,0.988279532103097,0.987165674757496,0.9849840507150772,0.9870754139036283,0.9851568906480154,0.9871272658835097,0.988106692170159,0.9869851530497606,0.9840526355209107,0.9870370050296421,0.9807801994572826,0.9824529059193836,0.9820995442787102,0.984213952791653,0.9853527759053452,0.9900290563131706
F1_0,0.977989933766714,0.9804703327956208,0.9819911074071976,0.9846788529392567,0.9859684282429936,0.9863621813204084,0.9864114124191943,0.9870485238391711,0.9874314745391765,0.9873665205599829,0.9875155731146326,0.9875215403128761,0.9868593602098201,0.9868986560060332,0.9867122772262023,0.9870716860524231,0.9868003813287175,0.984587744749534,0.9853112868439972,0.9823394144683503,0.9832573175958653,0.9817827872393119,0.9802587535911433,0.9786133484900791,0.9666477907700616
Precision_1,0.6935261707988981,0.7536403281839013,0.7818059500672746,0.7837017771998266,0.8061298250686714,0.7938778330569375,0.8271118435193809,0.8235707756135293,0.8184402079722704,0.8306226266389626,0.8051705756929638,0.8124315443592552,0.8086878700261599,0.8171584393791078,0.8251909497045684,0.822799971817093,0.8172610255328129,0.7927184466019418,0.8134563291602607,0.8117932148626817,0.7764663548038863,0.7260204081632653,0.7416918429003021,0.6957928802588996,0.5212143379663496
Recall_1,0.7323103774270963,0.7414733473929169,0.7605992291469711,0.788888080866846,0.8109955639589848,0.8355028725183623,0.8395025816304269,0.8517198749181878,0.8585557414006254,0.8430659588393571,0.8787724529125155,0.8630645043996801,0.8542651443531379,0.8499018253217948,0.8328121591157007,0.8492473274670933,0.8449567304196058,0.8312849974547306,0.8080139626209003,0.80394153152498,0.7845974838193586,0.7243836811868227,0.6427168933168497,0.5785033815722493,0.3108864809832012
F1_1,0.7123907891478901,0.7475073313782992,0.7710568026834752,0.7862863769796687,0.8085553742976255,0.8141586649186834,0.8332611520138589,0.8374088374088374,0.8380181714934696,0.8367980366681103,0.8403630167947426,0.8369829683698297,0.8308519291296814,0.8332085694934588,0.8289840385102609,0.8358144861150874,0.8308781464530892,0.8115437861630755,0.810726012404232,0.8078482955168256,0.7805107429646242,0.7252011211823377,0.6886663809560915,0.6317503176620076,0.38946840978453967
Precision_2,0.6807174887892377,0.7645653069633292,0.7306110874805047,0.7820084613671788,0.7947623951743417,0.7787060691845612,0.81371790906279,0.7945697457261888,0.8024184841286979,0.8356269113149847,0.8190684133915574,0.8032111692844677,0.8063606794362125,0.794286108619143,0.8141073286754869,0.8395868145222543,0.8572421247683756,0.7745938785470264,0.8426084253070107,0.7594005827667546,0.7603196715301709,0.7713222450064555,0.714523323504952,0.6844106463878327,0.5347420274824993
Recall_2,0.6976637303715052,0.7106855610877059,0.7894293374186135,0.807047108387591,0.8275756415166603,0.8638835695135963,0.8060513213328226,0.8473381846036001,0.8539256989659134,0.8372271160474913,0.8620451934124856,0.8813481424741478,0.854538490999617,0.8816545384909996,0.8389888931443891,0.8467253925698965,0.8504787437763309,0.8510149368058215,0.8304098046725392,0.8384527001148985,0.7943316736882421,0.7779394867866718,0.7239371888165453,0.6342397548831865,0.3159708923783991
F1_2,0.6890864384338945,0.7366415244144502,0.758882220831339,0.7943305186972256,0.8108371796315059,0.819086353402571,0.8098664716973871,0.820106016236053,0.8273712334867152,0.8364262483259997,0.8400074640791192,0.8404674945215486,0.8297508367422833,0.8356930225804109,0.8263608585763326,0.8431409938598833,0.8538470411812205,0.8110081027812249,0.8364646425678022,0.7969711310932324,0.7769536225368997,0.774616734040119,0.7191994520964919,0.658370770882201,0.39722663585150947
