,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.8744709563721137,0.8840457787522202,0.8842712727575488,0.8917836922735346,0.8956986151198935,0.9006577486678508,0.9041234180728241,0.9071797291296625,0.9103297069271759,0.9088796070159858,0.9134796847246892,0.9180884352797514,0.9188707260213144,0.9185793183836589,0.9217015430728241,0.9245791934946714,0.9254829040852576,0.9233008159413855,0.9231169515985791,0.9203260296403197,0.9241004523756661,0.9193113066163411,0.9188741951598579,0.9070218833259325,0.8357206788410302
Precision_0,0.9255325944287501,0.940523674256362,0.9345940651829624,0.951376681738863,0.9408694562504568,0.944179734051577,0.9484675556754387,0.9526841715646868,0.9550364758698092,0.9603616866946046,0.9651789636792136,0.9640986367850758,0.9589745010613901,0.9570473731591731,0.9728190107716365,0.9680138202036367,0.9727400942709431,0.9662670893600158,0.9612300947604547,0.9674812570684693,0.9677358397378497,0.9634858999661787,0.9630322025670071,0.9600803510070307,0.8864074647641907
Recall_0,0.9644617842327216,0.9604701497023989,0.9630016919892469,0.956416246532281,0.967296080940643,0.9679745943949636,0.9664135840111311,0.9643952212039749,0.9647237419587567,0.9580459671393358,0.9576208226331475,0.962303853784645,0.9661237127569118,0.9678564986988002,0.9577689790519707,0.9637424740833627,0.9611250440174868,0.9633624206611642,0.9679337976999253,0.960661250010736,0.967658956807036,0.9664608222895964,0.9711545894134723,0.9749250629127981,0.9721487404557205
F1_0,0.9445962670222083,0.9503922662204871,0.948585242871223,0.9538898079589684,0.953899774384905,0.955929112528295,0.9573564758683768,0.9585039261694479,0.959855667548271,0.9592024292585924,0.9613850383864644,0.9632004092067213,0.96253583194284,0.9624215870901071,0.9652353331320875,0.9658734249128195,0.9668976883788194,0.9648125688136526,0.9645702987923346,0.9640591920617563,0.967697396745368,0.9649710682762953,0.967076341492619,0.9674457651369148,0.927300339888397
Precision_1,0.6035552797233797,0.6158527131782946,0.6524889191953631,0.6702491450903761,0.6805636378751351,0.7325102880658436,0.7133936434232647,0.7279538005306696,0.7506922984307902,0.7324838341574743,0.7666286433544428,0.7656298600311042,0.7785089417047302,0.7653309387510757,0.7847777903001616,0.7640096705517266,0.7556305506216696,0.772472748992086,0.7913740838801274,0.7408118291035758,0.7730731560310404,0.7515169902912622,0.7248713550600343,0.6365718799368089,0.42957483838886124
Recall_1,0.4946052966178661,0.5772150979038762,0.5561812039088895,0.5981036800232499,0.5947978348530534,0.5884404402949831,0.6474370617938751,0.6777345878591928,0.6795146583354524,0.6995676971700512,0.7080321139245105,0.7153703636429687,0.7306281105823373,0.743088603916155,0.7588912703890726,0.7691720855886948,0.7727322265412141,0.7517346605151306,0.7492280306608058,0.7571475278817161,0.7455225778326734,0.7198750317869728,0.6908489846332692,0.5855342027827224,0.25106259309042034
F1_1,0.543675751222921,0.5959082641063627,0.6004981271204722,0.6321245512660536,0.6347969370941166,0.6526188557614827,0.6788169647108114,0.7019471357351142,0.7133323163755625,0.7156474719884052,0.736166194523135,0.7396473040734689,0.7538089616011694,0.754045784642607,0.7716174786687844,0.7665821868211441,0.764085708640911,0.7619626254257572,0.7697245652011644,0.7488906056305132,0.7590479536922309,0.735355784395584,0.7074513596964399,0.6099873218914981,0.3169093201880087
Precision_2,0.590335073244654,0.600063318690886,0.6017905507071923,0.6186094069529653,0.6577050225036842,0.6640011957252822,0.689640035118525,0.6752450090744102,0.6771353201197775,0.6740487143825113,0.6632880263201621,0.6810115645354247,0.6930890809545126,0.7063727977959835,0.6864848902451028,0.7023523605856227,0.7217752659574468,0.7162850301824436,0.7282928623988226,0.7216664382622996,0.7167540771607156,0.6940888620970888,0.7161132776907096,0.6586408055586519,0.4395323134198127
Recall_2,0.5143213408149044,0.5560934462903876,0.5867165438075329,0.6434517915428907,0.6056038434737961,0.6517035244067921,0.633769758315913,0.6822532731873694,0.6966296255546999,0.6931822349360032,0.7319837165804819,0.7515678292441412,0.738181684820479,0.7146367403821469,0.76730113323798,0.7829244141269667,0.796237209814061,0.778963582352294,0.7259691201819048,0.7725088935343088,0.7317636703707778,0.7178640847911395,0.720577988044156,0.6500898522022959,0.2771115267539517
F1_2,0.5497128745859711,0.5772422719658901,0.5941579543555365,0.6307861007747757,0.6305800588078054,0.6577948879305558,0.6605255613951266,0.6787310505864969,0.6867441566188832,0.6834815939827873,0.6959447679486732,0.7145522062797468,0.714925055054344,0.7104807394308424,0.7246467165419784,0.7404529846345947,0.7571799745409524,0.7463106113843991,0.7271291347548993,0.7462226552121158,0.7241811087923056,0.7057763034542439,0.7183386955250073,0.6543373938722776,0.33991632552071616
