,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.9381313832149201,0.9476454956705151,0.9436490480683837,0.9583391152309059,0.9609392345692718,0.9642921569715808,0.9636833231571936,0.9655289048623446,0.9659868311500888,0.9630710202042628,0.9643875582815276,0.9647552869671403,0.9596851409857904,0.9566218916518651,0.952708703374778,0.9532308087255773,0.9455102408969804,0.9461693772202486,0.936781888321492,0.8922554951154529,0.919002553285968,0.9027912688721137,0.8977141846136767,0.9076948962033747,0.9093635518428064
Precision_0,0.9611108181605887,0.9658781370115046,0.9662109085941325,0.9759093254040019,0.9777919156401372,0.9785726924547795,0.9774290121346129,0.9814479188174386,0.9811328328850708,0.9810302155404615,0.9806408046691625,0.9798608673087784,0.978629722825515,0.9767713849452584,0.9771944311089774,0.9759556918268504,0.9748348428189137,0.9722420815563755,0.9701497128596944,0.9689526179501577,0.9668935733444366,0.9637044429457468,0.9633572071711358,0.9602419641347445,0.9345263078256076
Recall_0,0.9800907601692295,0.9839969426536307,0.9779398632259997,0.9845193033398436,0.9858213641679774,0.9877398874235903,0.9881566237063412,0.985886659253754,0.9856888535527248,0.9827371315868818,0.9844751331347594,0.9862419413381268,0.9821667598081861,0.9815810244798958,0.9772638670438418,0.9786696318317384,0.9717233869713259,0.9741316233702635,0.969061652004079,0.9212579674407976,0.9588199257556466,0.9495000124828841,0.9472319684739963,0.970653699830809,0.9963108276536211
F1_0,0.9705080017381233,0.974853357229969,0.9720400058411047,0.9801954073535879,0.9817902232184695,0.9831349206349206,0.9827635437825469,0.9836622816472038,0.9834055663489947,0.981882931733843,0.9825542281367218,0.9830410492937998,0.980395051125842,0.9791702985660782,0.9772291478429863,0.9773107777161958,0.9732766281579281,0.9731859352786448,0.9696053771850098,0.9445035661723084,0.9628398249697708,0.9565494978964953,0.9552265398805085,0.9654197610097491,0.9644300517171507
Precision_1,0.6504815084567451,0.7028772273990518,0.6983119095555211,0.7598206660973527,0.7869731238067263,0.7999121136663249,0.8246094617605686,0.8240284222737819,0.8138817480719794,0.8064289231202082,0.8306785948068951,0.8257023933402705,0.79600519180848,0.7994593804792519,0.7874483658236104,0.793993906862034,0.7798926654740608,0.6793887991383952,0.7325962028078854,0.6580653787017848,0.6466886896334749,0.4172002426366516,0.3586686879823594,0.39649373152583833,1.0
Recall_1,0.584539306232274,0.6253363391753327,0.6558068504108792,0.776452621627518,0.7793615009817468,0.7942695076721693,0.8099774561850047,0.8264853465202531,0.8058323031052287,0.833757544905825,0.8305577776161733,0.8078685186531889,0.8027779797832885,0.7957966693331394,0.790197076576249,0.7960148352847065,0.7925969020434878,0.7339829830557778,0.7323830994109519,0.7158752090757036,0.5979201512617264,0.45014908006690424,0.37851792596902045,0.2828885171987492,0.0
F1_1,0.615749961697564,0.6618433711756783,0.6763922745171573,0.7680466136747833,0.783148818005773,0.7970808246670316,0.8172279697703426,0.8252550557310387,0.8098370240444347,0.8198655606407322,0.8306181818181818,0.8166881088035287,0.7993772403055868,0.7976238201100623,0.7888203266787659,0.7950030867560011,0.7861934646180481,0.7056314887964484,0.7324896356098626,0.6857540926506444,0.6213489514453051,0.433048831677627,0.36832608003396666,0.3301926831338596,0.0
Precision_2,0.6494187154564514,0.7398299661760673,0.6628875110717449,0.7284887359198998,0.7387287801026451,0.7866353023174769,0.7288978834640357,0.7445084904190684,0.7826457816377171,0.7470740234078127,0.7409496944052656,0.7543969849246231,0.6573788959819752,0.6251891074130106,0.5702349154167523,0.5874630310899517,0.5096659652814308,0.622122905027933,0.44742108320960555,0.3701513838625822,0.34626198083067095,0.24876027870190195,0.3393790849673203,0.4199288256227758,1.0
Recall_2,0.5220222137112217,0.6199157410953657,0.5732669475296821,0.713366526235159,0.7166602834163156,0.6916124090386825,0.6621217924166986,0.7321332822673305,0.7731137495212562,0.7529682114132517,0.7243201838376101,0.7359632324779778,0.6704710838759096,0.6330907698199923,0.637763309076982,0.623822290310226,0.5937188816545385,0.6397548831865186,0.5309076981999235,0.5562619685944082,0.4150900038299502,0.30356185369590194,0.3181922635005745,0.28019915741095364,0.0
F1_2,0.5787931546987133,0.6745853129949154,0.6148285068802629,0.7208483300437324,0.7275272161741835,0.7360697835568418,0.6939070402183511,0.7382690302398331,0.7778505645254518,0.7500095372525083,0.732540574040361,0.745066108332364,0.663860447478195,0.6291151284490961,0.6021116575065085,0.6050969611412438,0.5484909599122527,0.6308157099697885,0.4856021859454915,0.4445124563873416,0.3775648841665215,0.2734423514800248,0.3284443565922119,0.3361205549940274,0.0
