,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.9524884130772646,0.9588508131660746,0.9608160801509769,0.9662574239564832,0.9688384630328597,0.9702278530195382,0.9712460451820604,0.9723214781305506,0.9737178063943162,0.9738877941829485,0.9737420903641207,0.9736154668072824,0.9720543544626998,0.9727464476021315,0.9721636323268206,0.9720734347246892,0.9717386628552398,0.968864481571936,0.9682313637877442,0.9635913909857904,0.964226243339254,0.9609895370781527,0.9562663049511545,0.9498830900310835,0.9233962172513321
Precision_0,0.9730436088339108,0.9777294026069172,0.9825404459150107,0.982478724849032,0.9868794537788443,0.9866962902599624,0.9869743773048991,0.9863192857033276,0.9884941403207099,0.9891806322146772,0.9883221786291253,0.9887528849244771,0.9871053784600248,0.9879450610347429,0.9877027648572346,0.9889974441818971,0.9873845070666382,0.9848546255337376,0.9855373252034084,0.98323877245941,0.9845940209624547,0.9819374764710853,0.9775040969359885,0.9730067170126371,0.9446560827161399
Recall_0,0.9831269816578422,0.9841717030302681,0.9808743011985489,0.986403258608869,0.9848515400998247,0.9859250681277403,0.9863033955365047,0.9877418078672897,0.9869678690564668,0.9864090199399669,0.9868929717521936,0.9864704741383449,0.986458951476149,0.9860306925312025,0.98564660379134,0.9846518139550962,0.9857234215393125,0.9846806206105859,0.9839796586603369,0.9814600365268391,0.9817596257439318,0.9817922732868202,0.9828523582088405,0.984792006345146,0.9895873542623288
F1_0,0.9780593071219367,0.9809399755181809,0.9817066666154114,0.9844370803809466,0.9858644540907151,0.9863105284341592,0.9866387723423548,0.9870300342456224,0.9877304150786741,0.9877928818895215,0.9876070581248865,0.9876103608453564,0.9867820591018025,0.9869869485023793,0.9866736131003074,0.9868198449099157,0.9865532651001874,0.9847676153856496,0.9847578759623026,0.9823485993057077,0.9831747805374801,0.9818648695106059,0.9801709319863063,0.9788638899414259,0.9665998557484433
Precision_1,0.7263646374075822,0.7886635131884872,0.7671142898846883,0.8075354149669954,0.8016874645490641,0.7946770709956107,0.8193342776203966,0.8321915338573592,0.817193199807282,0.8171424659409872,0.8088422179118454,0.819505706084156,0.8099332737153471,0.8189136217275654,0.8087973731016554,0.800608313619466,0.8139212423738215,0.8207382647870949,0.7873918417799752,0.8048108969714534,0.7624617098301308,0.7286804638191693,0.7390300230946882,0.6801707541642253,0.5471524398263843
Recall_1,0.6715875209075703,0.7153661551887135,0.7643807723074686,0.7917969602210748,0.8222674714566214,0.8294669478583375,0.8413206312268199,0.839211693695004,0.8634281143189586,0.8680095993018689,0.8794269507672169,0.8512108210311977,0.8562286379172424,0.8507744891280634,0.8597920151261726,0.8613918987709984,0.8537560904661479,0.8213948076503527,0.8338302668896808,0.8077957966693331,0.7964511671878409,0.7220565777034398,0.6515889753472475,0.5909388408115773,0.3025234528397935
F1_1,0.6979028906102399,0.75022879804759,0.7657450916111171,0.7995887493574209,0.8118470651588584,0.8116994022203246,0.8301819095116788,0.8356868708813093,0.8396746817538897,0.8418083080612173,0.8426590481499547,0.8350574302632517,0.8324377828054299,0.8345400720476513,0.8335154570129366,0.8298886008547607,0.833362910381544,0.821066404972195,0.8099459612192279,0.8063005843283853,0.7790858972078961,0.7253533988384411,0.69256038647343,0.6324227566347576,0.38962255315163435
Precision_2,0.6854535695115406,0.7397217928902627,0.7430760164997053,0.7820191599115697,0.7867769794614994,0.8046311803684555,0.7944149516398807,0.8020855963502064,0.8033268803326881,0.8095540054956669,0.8210248128028189,0.8170819530462337,0.7901002506265664,0.8059943582510578,0.8017766315638656,0.8189392841617157,0.8330003699593045,0.7938892517599245,0.8181683571481454,0.7641881425151387,0.7634130096943684,0.7451403887688985,0.7187619120225661,0.6828733766233767,0.5069492703266157
Recall_2,0.6847184986595174,0.7332056683263117,0.7727307545001915,0.8128686327077748,0.8304098046725392,0.8464189965530448,0.8367675220222137,0.8484105706625814,0.8582152432018384,0.8801225584067407,0.8566832631175795,0.8690923018000766,0.8693220988127154,0.8754500191497511,0.857296055151283,0.8657985446189199,0.8623515894293374,0.8379165070854079,0.8464955955572577,0.8313289927230946,0.7901953274607431,0.7927996936039832,0.7221754117196476,0.6444274224435083,0.3352738414400613
F1_2,0.6850858369098712,0.7364493171763801,0.7576133077991815,0.7971455399061033,0.8080047700678245,0.8249962669852172,0.8150414086398567,0.8245979749851102,0.829864454484853,0.843364650616559,0.8384750909022753,0.8422849931331428,0.827820124731026,0.8392876812924546,0.828607388761383,0.8417172431768254,0.8474219044034625,0.8153089364239398,0.8320909570062496,0.7963458927981802,0.7765733212887684,0.7682315828539618,0.7204646186764481,0.6630935960591133,0.4036147355802481
