,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.8744622835257548,0.8842036245559503,0.884980711589698,0.8930551315497336,0.895651781749556,0.9010532304618117,0.9027427009325044,0.9054104684724689,0.9105864231793961,0.9106089725799289,0.9143851298845471,0.9183642317939609,0.9182167934058615,0.9207197768650088,0.9231186861678508,0.9241056560834814,0.9257014598134992,0.9239495448490231,0.922808198268206,0.9206712089253997,0.9238472052619894,0.9186556394316163,0.9189990841474245,0.9066992534413855,0.8354674317273535
Precision_0,0.9278017865865269,0.9326638722984782,0.9391779060950225,0.9418471156102303,0.9464098775854791,0.9457524233608838,0.9426330279633723,0.9414841492263424,0.954185549162381,0.955230992422921,0.9603276461627133,0.9589797231370979,0.9570146704564284,0.9637083456650325,0.9675388944593589,0.9704427946727688,0.967775895215685,0.964275299546285,0.9661035558435576,0.9651600874926802,0.9680247051542138,0.9648030858510037,0.9626028851451827,0.9607588957588005,0.8852123192881772
Recall_0,0.9625293092045932,0.9670126512698508,0.9600557411685892,0.9653142204395736,0.9628213276532882,0.9668129621836109,0.9696880555865706,0.9716355609760288,0.9656835378893938,0.9642105624790649,0.9623875943691972,0.9665531516520515,0.9673261416633028,0.9648547208217743,0.963448308440192,0.9615952796076647,0.9652261854660701,0.9656169748606471,0.9635706985253069,0.9626151969836212,0.9672016043837123,0.9645648495675551,0.9715711451417578,0.9739266174815986,0.9723870790425231
F1_0,0.9448465559396341,0.949527725068522,0.9495020710319908,0.9534362898334344,0.9545450675022671,0.9561667369207884,0.955969157983309,0.9563222568929681,0.9599001131197575,0.9596997732484458,0.9613565167778972,0.9627515436422471,0.9621427793427632,0.9642811925296297,0.9654892687193578,0.9659987791225645,0.9664993587545325,0.964945670832189,0.9648354648919027,0.9638859624604932,0.9676129797261592,0.964683953000699,0.9670662234034026,0.9672979460051971,0.9267541992731083
Precision_1,0.6125866570631133,0.6370183963901423,0.6542503602000169,0.6831189847542799,0.6568529479591052,0.7057764755127669,0.7203034621510604,0.7496639930630826,0.7407334694518611,0.7668608794064635,0.7734393927158201,0.7535403256342295,0.7815470790106899,0.7861625534208602,0.7761425251742835,0.753973860826563,0.760605406960023,0.7905447470817121,0.7764545888925645,0.7518463273547495,0.7644673792849245,0.750739701084895,0.7335255835703987,0.6427288315505838,0.4151139914361764
Recall_1,0.4943510008355433,0.5333672394376431,0.5608675118974098,0.5827369491771716,0.6208449885566898,0.6125258836778436,0.6242961456024994,0.6281469103062448,0.6853271333599739,0.6646201910851164,0.6958622443419188,0.7229629091437497,0.719766047880263,0.7417807970356377,0.7644131216623679,0.7754204962400553,0.7685908380862426,0.7380753442075053,0.7674283430813383,0.7507538053547426,0.7534420750535837,0.7189668325643913,0.683801358666037,0.5719112144440004,0.26061684891197734
F1_1,0.5471542590619408,0.5806030647553139,0.6039706601466993,0.6289478327353997,0.6383415818470446,0.6558531225081199,0.6688722389802472,0.6835468058191019,0.7119539579205585,0.7120893663397166,0.7326028340313235,0.7379349982386859,0.7493853776617875,0.7633271028037383,0.7702331710531132,0.7645468058814048,0.7645772726451403,0.7634095477858981,0.7719150802060877,0.751299669175119,0.7589146861335236,0.7345098257529366,0.7077912311047605,0.6052555698660157,0.3202035305407396
Precision_2,0.5789114279975899,0.6118440097597287,0.5945142101784534,0.6450646907513341,0.6341762562678114,0.6627218934911243,0.6636573901365366,0.6679722271675271,0.6805146266082082,0.6782381752529405,0.6667669575101126,0.7109405958427897,0.7000881057268723,0.6757693553611921,0.700797057020233,0.7269977049864386,0.7384636979331157,0.7339007491295326,0.7186170212765958,0.7169413763806287,0.7159361686764387,0.677453274990672,0.7058844194624978,0.6578889053035899,0.42665419943897476
Recall_2,0.5285509957090989,0.5425972787618734,0.5937946968863461,0.616202735907874,0.6447353944328309,0.6489896211537757,0.6524370117724723,0.6880111490079583,0.6944658378259434,0.6957494407158836,0.7314702754245058,0.7237686580848645,0.7285363259617853,0.7650639967726556,0.7545384530751458,0.7667510177137199,0.7717754061686287,0.7652840429823596,0.7432060732753878,0.7736824733193971,0.7272527230718451,0.7324604833681739,0.7368980819305387,0.6532805222430044,0.28448307477903695
F1_2,0.5525861738430274,0.5751438345513917,0.5941542357020972,0.6303034850133173,0.6394122353968138,0.655783875928774,0.6579993712203872,0.6778436190200896,0.6874194543771441,0.6868822187624462,0.6976215459951032,0.7172972776505652,0.7140289709212465,0.7176496895264634,0.7266754966887418,0.7463453815261044,0.7547521698586902,0.7492639138240574,0.7307047433609173,0.7442319904042899,0.7215500773219321,0.7038838373158526,0.7210579200459342,0.65557661520343,0.341357155430382
Precision_3,0.6221765033646222,0.6716723252372246,0.624079624079624,0.6675734262761933,0.6860563550610714,0.6904055771675076,0.7268172518892739,0.7449269222622326,0.715272136474411,0.7223669519910682,0.7104883081155433,0.7535679952673223,0.7325249643366619,0.7537535332770456,0.7348327605566709,0.715652899993577,0.7459377057131968,0.7326695663993475,0.7267845756284189,0.7274961916632046,0.7483404580683279,0.7391198214534802,0.7437623173316477,0.6869328154759682,0.49884597630404676
