,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.8504367645426287,0.8584487400088809,0.8536214337255773,0.8637443799955595,0.8677755189831261,0.8722524422735346,0.8713036328818827,0.8767848717806395,0.8797579235124334,0.873822227464476,0.8850639709147424,0.8919241923845471,0.8930117673179396,0.8896657831927176,0.8960195104351687,0.8940074100799289,0.8900421847246892,0.8903075738232682,0.8794179479351687,0.8355871170071048,0.8666289686944938,0.8435869504884547,0.8393441940497336,0.8619161439831261,0.8139813221580817
Precision_0,0.9036940828223639,0.9102717817617246,0.9110333311397736,0.9173735657133216,0.9165731901026741,0.9182337524059134,0.9159527734826997,0.9229476721235582,0.9263153739393486,0.9329507977396139,0.9415157192089565,0.9421892503117536,0.9430188511451917,0.951022835394862,0.9499279762503559,0.9521146700460651,0.9506413242245454,0.9501050793753435,0.9456677867257897,0.952981305680643,0.9504940578062875,0.9465515108129844,0.9539196881574062,0.9424404549268511,0.83547183678322
Recall_0,0.9636157896092965,0.9617971158883802,0.9512286246789944,0.957397514407675,0.9614685951335984,0.9629029210433647,0.9603241404780514,0.9588747842069552,0.957311626628647,0.9433054770636686,0.9485489259733233,0.9571720589877266,0.9562917092526905,0.9443168056617224,0.9529528218429799,0.9501786465803781,0.946567065472254,0.9464554113595176,0.941488950537228,0.8824475440389586,0.9372976269206654,0.91988602691723,0.9269073528527626,0.9743324372375055,0.995875239412184
F1_0,0.932693496714741,0.9353253776845094,0.9306971878033101,0.9369583101746541,0.938484270534236,0.9400379832806487,0.9376137960962633,0.9405682740841448,0.9415584689852086,0.9380995647100149,0.945019236796028,0.9496215599017526,0.9496089031698193,0.9476579569989786,0.9514379948785066,0.9511456731373744,0.9485998201090535,0.9482767337270978,0.943573741916741,0.9163591526213575,0.9438497181566776,0.9330282861896838,0.9402195456624486,0.9581211307336931,0.9086488588576528
Precision_1,0.5197930394884561,0.5619323855261281,0.5872298091706611,0.6118292898884363,0.6016744346625237,0.6450208679262218,0.657502393653399,0.6796107757455626,0.6943263722047681,0.6568192191195386,0.66460343700742,0.6814238128437524,0.6723159538408805,0.6526746687018664,0.692600498043401,0.6699493327624348,0.6870733399043552,0.6946291178008516,0.6505291908501195,0.6017681599261068,0.5711951880592582,0.4530112606590011,0.42232640648758235,0.48419243986254296,1.0
Recall_1,0.386856540850801,0.42932393649871037,0.47175500417771643,0.5020525302430341,0.5064845424492317,0.5221418970465361,0.5238856395538926,0.5480437388745595,0.5459367166781706,0.5750717477385839,0.6280015984306317,0.6391179569150289,0.6412976350492244,0.6834744069459077,0.7072692265775421,0.6820939441275838,0.6837287027282305,0.6756275656628038,0.6921931194826897,0.6626948087332437,0.5588694736077305,0.5538925418679842,0.4843244814182439,0.30711664910814834,0.0
F1_1,0.44357895613779313,0.486758103711026,0.523196551237888,0.5515314776015166,0.5499911240852877,0.5771130295121462,0.5831378892033967,0.6067772750125692,0.6112546012893779,0.6132331293096769,0.6457843027382419,0.6595932139844409,0.6564405771233081,0.6677195535286498,0.6998580081600374,0.6759670944863464,0.6853969410050983,0.6849965930645845,0.670714750866818,0.6307636451651942,0.5649651120088138,0.4983982740585774,0.4512056857602166,0.37584190988507793,0.0
Precision_2,0.49333052143196077,0.5852143614603847,0.5226390685640362,0.5407821229050279,0.5638832315003395,0.5607480847228481,0.5796945894521149,0.589739248222147,0.5950885668276973,0.5697048049989226,0.5814267923856965,0.6376256207719079,0.5942604856512141,0.5671887881286067,0.5716167270332565,0.563287013209813,0.5410979476055398,0.5533427696764213,0.47399929153382925,0.4384815306348153,0.41428101349128005,0.3466001628664495,0.39581601551676365,0.492496248124062,1.0
Recall_2,0.343162064033447,0.4250192540433491,0.42967689881541793,0.46151025048593536,0.4569259544504346,0.4563391645578905,0.435764843950563,0.5109472989327759,0.5421205119741812,0.5818021784574761,0.5992958521289471,0.5980122492390069,0.5923643965232699,0.6307991344849085,0.5730003300693145,0.6020831041185316,0.5946382073568782,0.616496130854146,0.4907397220082884,0.581618806616056,0.4617302966956394,0.37462867202112443,0.4191146807496241,0.3610591557560421,0.0
F1_2,0.4047670545486006,0.49241555130656467,0.4716206424603494,0.49801135801491975,0.5048012641303027,0.5031845845886326,0.49752952014069174,0.5475231376864279,0.5673709866236782,0.575689946110718,0.5902261070577187,0.6171839515518547,0.5933109262218305,0.5973051812751771,0.5723076923076923,0.5820392824221797,0.5666060944925916,0.5832147937411095,0.4822242643746509,0.500007882084023,0.4367206063444161,0.36006979326389255,0.40713229662088746,0.41665784963074254,0.0
